Scientific Name,Accepted Symbol
Senegalia nigrescens,"ACNI8,SENI4"
Acacia nilotica,"ACNI2,VANI4"
Acacia nilotica,"ACNI2,VANI4"
Vachellia nilotica,"ACNI2,VANI4"
Acacia arabica,"ACNI2,VANI4"
Mimosa nilotica,"ACNI2,VANI4"
Acacia nilotica ssp. adstringens,"ACNIA3,VANIA"
Acacia nilotica ssp. adstringens,"ACNIA3,VANIA"
Vachellia nilotica ssp. adstringens,"ACNIA3,VANIA"
Acacia nilotica ssp. adansonii,"ACNIA3,VANIA"
Acacia nilotica ssp. kraussiana,"ACNIK2,VANIK"
Acacia nilotica ssp. kraussiana,"ACNIK2,VANIK"
Vachellia nilotica ssp. kraussiana,"ACNIK2,VANIK"
Acacia notabilis,ACNO5
Acacia omalophylla,ACOM
Acacia homalophylla,ACOM
Acacia oswaldii,ACOS2
Acacia oxycedrus,ACOX3
Acacia papyrocarpa,ACPA16
Acacia sowdenii,ACPA16
Acacia paradoxa,ACPA8
Acacia armata,ACPA8
Acacia parramattensis,ACPA81
Acacia parvipinnula,ACPA9
Acacia pendula,ACPE8
Acacia pennatula,"ACPE9,VAPE4"
Acacia pennatula,"ACPE9,VAPE4"
Vachellia pennatula,"ACPE9,VAPE4"
Acacia penninervis,ACPE10
Acacia pentagona,"ACPE11,SEPE10"
Acacia pentagona,"ACPE11,SEPE10"
Senegalia pennata,"ACPE11,SEPE10"
Acacia pennata,"ACPE11,SEPE10"
Acacia pinetorum,"ACPI,VAFAP"
Acacia pinetorum,"ACPI,VAFAP"
Vachellia farnesiana var. pinetorum,"ACPI,VAFAP"
Vachellia insularis,"ACPI,VAFAP"
Vachellia peninsularis,"ACPI,VAFAP"
Acacia podalyriifolia,ACPO2
Acacia polyacantha,"ACPO3,SEPO3"
Acacia polyacantha,"ACPO3,SEPO3"
Senegalia polyacantha,"ACPO3,SEPO3"
Acacia suma,"ACPO3,SEPO3"
Acacia polyacantha ssp. campylacantha,"ACPOC2,SEPOC"
Acacia polyacantha ssp. campylacantha,"ACPOC2,SEPOC"
Senegalia polyacantha ssp. campylacantha,"ACPOC2,SEPOC"
Acacia campylacantha,"ACPOC2,SEPOC"
Acacia pravissima,ACPR6
Acacia prominens,ACPR3
Acacia pruinosa,ACPR4
Acacia pulchella,ACPU3
Acacia pycnantha,ACPY3
Acacia pyrifolia,ACPY4
Acacia quornensis,ACQU2
Acacia ramulosa,ACRA5
Acacia redolens,ACRE9
Acacia rehmanniana,"ACRE8,VARE2"
Acacia rehmanniana,"ACRE8,VARE2"
Vachellia rehmanniana,"ACRE8,VARE2"
Acacia retinodes,ACRE2
Acacia retusa,"ACRE4,SEWE4"
Acacia retusa,"ACRE4,SEWE4"
Senegalia westiana,"ACRE4,SEWE4"
Acacia riparia,"ACRE4,SEWE4"
Acacia westiana,"ACRE4,SEWE4"
Acacia richii,ACRI10
Acacia rigens,ACRI6
Acacia rigidula,"ACRI,VARI"
Acacia rigidula,"ACRI,VARI"
Vachellia rigidula,"ACRI,VARI"
Acacia amentacea,"ACRI,VARI"
Acacia rivalis,ACRI7
Acacia robusta,"ACRO5,VARO"
Acacia robusta,"ACRO5,VARO"
Vachellia robusta,"ACRO5,VARO"
Acacia roemeriana,"ACRO,SERO"
Acacia roemeriana,"ACRO,SERO"
Senegalia roemeriana,"ACRO,SERO"
Acacia malacophylla,"ACRO,SERO"
Acacia rossei,ACRO6
Acacia rubida,ACRU11
Acacia rupicola,ACRU12
Acacia saliciformis,ACSA9
Acacia salicina,ACSA10
Acacia saligna,ACSA
Acacia cyanophylla,ACSA
Acacia schaffneri,"ACSC2,VASC4,ACSCS2"
Acacia schaffneri,"ACSC2,VASC4,ACSCS2"
Vachellia schaffneri,"ACSC2,VASC4,ACSCS2"
Acacia schaffneri var. schaffneri,"ACSC2,VASC4,ACSCS2"
Acacia schaffneri var. schaffneri,"ACSC2,VASC4,ACSCS2"
Acacia schaffneri var. bravoensis,"ACSCB,VABR4"
Acacia schaffneri var. bravoensis,"ACSCB,VABR4"
Vachellia bravoensis,"ACSCB,VABR4"
Acacia schottii,"ACSC,VASC5"
Acacia schottii,"ACSC,VASC5"
Vachellia schottii,"ACSC,VASC5"
Acacia schweinfurthii,"ACSC9,SESC7"
Acacia schweinfurthii,"ACSC9,SESC7"
Senegalia schweinfurthii,"ACSC9,SESC7"
Acacia sclerosperma,ACSC10
Acacia scleroxyla,"ACSC12,SESK"
Acacia scleroxyla,"ACSC12,SESK"
Senegalia skleroxyla,"ACSC12,SESK"
Acacia senegal,"ACSE6,SESE16"
Acacia senegal,"ACSE6,SESE16"
Senegalia senegal,"ACSE6,SESE16"
Acacia verek,"ACSE6,SESE16"
Acacia senegal var. rostrata,"ACSER2,SESER"
Acacia senegal var. rostrata,"ACSER2,SESER"
Senegalia senegal var. rostrata,"ACSER2,SESER"
Acacia seyal,"ACSE7,VASE"
Acacia seyal,"ACSE7,VASE"
Vachellia seyal,"ACSE7,VASE"
Acacia sieberiana,"ACSI7,VASI3"
Acacia sieberiana,"ACSI7,VASI3"
Vachellia sieberiana,"ACSI7,VASI3"
Acacia sieberiana var. woodii,"ACSIW2,VASIW"
Acacia sieberiana var. woodii,"ACSIW2,VASIW"
Vachellia sieberiana var. woodii,"ACSIW2,VASIW"
Acacia silvestris,ACSI5
Acacia sophorae,ACSO4
Acacia spectabilis,ACSP9
Acacia sphaerocephala,"ACSP4,VASP2"
Acacia sphaerocephala,"ACSP4,VASP2"
Vachellia sphaerocephala,"ACSP4,VASP2"
Acacia stenophylla,ACST5
Acacia stowardii,ACST8
Acacia clivicola,ACST8
Acacia stricta,ACST6
Acacia suaveolens,ACSU9
Acacia sublanata,ACSU11
Acacia luehmannii,ACSU11
Acacia subulata,ACSU10
Acacia swazica,"ACSW2,VASW"
Acacia swazica,"ACSW2,VASW"
Vachellia swazica,"ACSW2,VASW"
Acacia terminalis,ACTE9
Acacia tetragonophylla,ACTE8
Acacia tortilis,"ACTO6,VATO"
Acacia tortilis,"ACTO6,VATO"
Vachellia tortilis,"ACTO6,VATO"
Acacia tortilis ssp. heteracantha,"ACTOH2,VATOH"
Acacia tortilis ssp. heteracantha,"ACTOH2,VATOH"
Vachellia tortilis ssp. heteracantha,"ACTOH2,VATOH"
Acacia tortilis ssp. spirocarpa,"ACTOS2,VATOS"
Acacia tortilis ssp. spirocarpa,"ACTOS2,VATOS"
Vachellia tortilis ssp. spirocarpa,"ACTOS2,VATOS"
Acacia tortuosa,"ACTO,VATO2"
Acacia tortuosa,"ACTO,VATO2"
Vachellia tortuosa,"ACTO,VATO2"
Mimosa tortuosa,"ACTO,VATO2"
Poponax tortuosa,"ACTO,VATO2"
Acacia trineura,ACTR6
Acacia ulicifolia,ACUL2
Acacia juniperina,ACUL2
Acacia uncinata,ACUN2
Acacia undulifolia,ACUN3
Acacia urophylla,ACUR2
Acacia verniciflua,ACVE5
Acacia verticillata,ACVE2
Acacia victoriae,ACVI7
Acacia sentis,ACVI7
Acacia viscidula,ACVI9
Acacia visco,"ACVI10,SEVI11"
Acacia visco,"ACVI10,SEVI11"
Senegalia visco,"ACVI10,SEVI11"
Acacia vogeliana,"ACVO,SEVO2"
Acacia vogeliana,"ACVO,SEVO2"
Senegalia vogeliana,"ACVO,SEVO2"
Lysiloma ambiguum,"ACVO,SEVO2"
Acacia wattsiana,ACWA3
Acacia willardiana,"ACWI2,MAWI"
Acacia willardiana,"ACWI2,MAWI"
Mariosousa willardiana,"ACWI2,MAWI"
Acacia xanthophloea,"ACXA3,VAXA"
Acacia xanthophloea,"ACXA3,VAXA"
Vachellia xanthophloea,"ACXA3,VAXA"
Acaciella,ACACI2
Acaena,ACAEN
Acaena exigua,ACEX
Acaena exigua var. glaberrima,ACEX
Acaena exigua var. glabriuscula,ACEX
Acaena exigua var. subtusstrigulosa,ACEX
Acaena myriophylla,ACMY3
Acaena novae-zelandiae,ACNO7
Acaena anserinifolia,ACNO7
Acaena novae-zelandica,ACNO7
Acaena sanguisorbae,ACNO7
Acaena pallida,ACPA14
Acaena pinnatifida,ACPI3
Acaena pinnatifida var. californica,ACPIC2
Acaena californica,ACPIC2
Acalypha,ACALY
Acalypha alopecuroidea,"ACAL2,ACAR16"
Acalypha aristata,"ACAL2,ACAR16"
Acalypha aristata,"ACAL2,ACAR16"
Acalypha arvensis,"ACAL2,ACAR16"
Acalypha amentacea,ACAM2
Acalypha amentacea ssp. wilkesiana,"ACAMW,ACWI"
Acalypha amentacea ssp. wilkesiana,"ACAMW,ACWI"
Acalypha wilkesiana,"ACAMW,ACWI"
Acalypha amentacea var. heterotricha,ACAMH
Acalypha amentacea var. palauensis,ACAMP2
Acalypha australis,ACAU6
Acalypha berteriana,ACBE2
Acalypha bisetosa,ACBI3
Acalypha californica,ACCA3
Acalypha pringlei,ACCA3
Acalypha chamaedryfolia,ACCH2
Acalypha deamii,ACDE4
Acalypha rhomboidea var. deamii,ACDE4
Acalypha virginica var. deamii,ACDE4
Acalypha gracilens,ACGR2
Acalypha gracilens var. delzii,ACGR2
Acalypha gracilens var. fraseri,ACGR2
Acalypha virginica var. gracilens,ACGR2
Acalypha hispida,ACHI2
Acalypha indica,"ACIN12,ACPO"
Acalypha indica,"ACIN12,ACPO"
Acalypha poiretii,"ACIN12,ACPO"
Acalypha lanceolata,ACLA9
Acalypha mexicana,ACME7
Acalypha indica var. mexicana,ACME7
Acalypha monococca,ACMO4
Acalypha gracilens var. monococca,ACMO4
Acalypha gracilens ssp. monococca,ACMO4
Acalypha virginica var. monococca,ACMO4
Acalypha monostachya,ACMO
Acalypha hederacea,ACMO
Acalypha neomexicana,ACNE
Acalypha ostryifolia,ACOS
Acalypha caroliniana,ACOS
Acalypha phleoides,ACPH3
Acalypha lindheimeri,ACPH3
Acalypha lindheimeri var. major,ACPH3
Acalypha portoricensis,ACPO4
Acalypha radians,ACRA
Acalypha rhomboidea,ACRH
Acalypha virginica var. rhomboidea,ACRH
Acalypha setosa,ACSE
Acalypha virginica,ACVI
Acamptopappus,ACAMP
Acamptopappus shockleyi,ACSH
Acamptopappus sphaerocephalus,ACSP
Acamptopappus sphaerocephalus var. hirtellus,ACSPH
Acamptopappus sphaerocephalus var. sphaerocephalus,ACSPS2
Aplopappus sphaerocephalus,ACSPS2
Acanthocereus,ACANT6
Acanthocereus tetragonus,ACTE4
Acanthocereus floridanus,ACTE4
Acanthocereus pentagonus,ACTE4
Cactus tetragonus,ACTE4
Cereus pentagonus,ACTE4
Acanthomintha,ACANT2
Acanthomintha duttonii,ACDU2
Acanthomintha obovata ssp. duttonii,ACDU2
Acanthomintha ilicifolia,ACIL
Acanthomintha lanceolata,ACLA2
Acanthomintha obovata,ACOB
Acanthomintha obovata ssp. cordata,ACOBC
Acanthomintha obovata ssp. obovata,ACOBO
